"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R12,R5";"R_0805_2012Metric";2;"NC";;;
2;"J4,J3,J2,J1";"TestPoint_Pad_D2.0mm";4;"Conn_01x01_Male";;;
3;"R7";"R_0402_1005Metric";1;"R_Bias";;;
4;"R3,R2,R1,R8,R9";"R_0402_1005Metric";5;"1k";;;
5;"R10,R11";"R_0402_1005Metric";2;"R_Sense";;;
6;"D3,D1,D4,D2";"D_SOD-123F";4;"PMEG2010EH";;;
7;"Q7,Q2,Q3,Q5";"SOT-23";4;"BC857";;;
8;"L1";"L_0805_2012Metric";1;"10uH";;;
9;"C6,C1,C7";"C_0402_1005Metric";3;"4.7uF";;;
10;"C3,C4";"C_0402_1005Metric";2;"1uF";;;
11;"Q8,Q1,Q6,Q4";"SOT-23";4;"BC847";;;
12;"C2";"C_0402_1005Metric";1;"0.001uF";;;
13;"BT1";"BatterySolderOn";1;"Battery_Cell";;;
14;"R16";"R_0402_1005Metric";1;"?????????";;;
15;"R14,R13";"R_0402_1005Metric";2;"1";;;
16;"U1";"TSSOP-8_4.4x3mm_P0.65mm";1;"Opamp_Dual";;;
17;"C5";"C_0603_1608Metric";1;"10uF";;;
18;"R15";"R_0402_1005Metric";1;"???????";;;
19;"U2";"Electrode_Solder_Pads";1;"Electrodes";;;
20;"R4";"R_0402_1005Metric";1;"4.7k";;;
21;"U3";"SOT-23-6";1;"LT3467AES6TRPBF";;;
22;"R6";"R_0402_1005Metric";1;"R_bias";;;
